Species	Status	min_age	max_age
Coraciiformes	extinct	46.2	50.3
Presbyornis	extinct	46.2	50.3
Strigiformes	extinct	46.2	50.3
Anatidae	extinct	20.43	24.8
Diplodocus	extinct	145	155.7
Camarasaurus	extinct	145	155.7
Stegosaurus	extinct	145	155.7
Allosaurus	extinct	145	155.7
Camptosaurus	extinct	145	155.7
Barosaurus	extinct	145	155.7
Plateosaurus_longiceps	extinct	208.5	228
Liliensternus	extinct	208.5	228
Plateosaurus_longiceps	extinct	208.5	228
Liliensternus	extinct	208.5	228
Prosauropoda	extinct	201.3	208.5
Liliensternus	extinct	201.3	208.5
Velociraptor	extinct	70.6	83.5
Protoceratops	extinct	70.6	83.5
Protoceratops	extinct	70.6	83.5
Hypsilophodon_foxii	extinct	122.46	136.4
Prosaurolophus_blackfeetensis	extinct	70.6	85.8
Hypacrosaurus_stebingeri	extinct	70.6	85.8
Gryposaurus	extinct	70.6	85.8
Troodon_formosus	extinct	70.6	85.8
