Species	Status
Arenysaurus_ardevoli	extinct
Argentavis_magnificens	extinct
Argentinosaurus_huinculensis	extinct
Argoides	extinct
Argoides_macrodactylus	extinct
Argoides_minimus	extinct
Argoides_redfieldii	extinct
Argyrosaurus_superbus	extinct
Arrhinoceratops	extinct
Arrhinoceratops_brachyops	extinct
Arriagadoolithus_patagoniensis	extinct
Arthrodytes	extinct
Arthrodytes_andrewsi	extinct
Asiaceratops	extinct
Asiaceratops_salsopaludalis	extinct
Asiahesperornis_bazhanovi	extinct
Asianopodus	extinct
Asianopodus_pulvinicalx	extinct
Asio	extinct
Asio_flammeus	extinct
Asio_priscus	extinct
Astrophocaudia_slaughteri	extinct
Asturaetus_furcillatus	extinct
Asylosaurus_yalensis	extinct
Atacamatitan_chilensis	extinct
Athene	extinct
Athene_veta	extinct
Atlantisia_podarces	extinct
Atlasaurus_imelakei	extinct
Atrociraptor_marshalli	extinct
Atsinganosaurus_velauciensis	extinct
Aucasaurus_garridoi	extinct
Auroraceratops_rugosus	extinct
Aurornis_xui	extinct
Australodocus_bohetii	extinct
Australornis_lovei	extinct
Australovenator_wintonensis	extinct
Austrocheirus_isasii	extinct
Austroposeidon_magnificus	extinct
Austroraptor_cabazai	extinct
Avaceratops_lammersi	extinct
Averostra	extinct
Aves	extinct
Avetheropoda	extinct
Avialae	extinct
Aviatyrannis_jurassica	extinct
Avimimus	extinct
Avimimus_portentosus	extinct
Avipedidae	extinct
Avisaurus_archibaldi	extinct
Avisaurus_gloriae	extinct
Aythya	extinct
Aythya_affinis	extinct
Aythya_americana	extinct
Aythya_collaris	extinct
Aythya_marila	extinct
Aythya_valisineria	extinct
Bactrosaurus	extinct
Bactrosaurus_johnsoni	extinct
Badiostes_patagonicus	extinct
Bagaceratops	extinct
Bagaceratops_rozhdestvenskyi	extinct
Bagaraatan_ostromi	extinct
Bahariasaurus_ingens	extinct
Balaenicipitidae	extinct
Balaur_bondoc	extinct
Balearica	extinct
Balochisaurus_malkani	extinct
Bambiraptor_feinbergi	extinct
Bambolinetta_lignitifila	extinct
Banji_long	extinct
Baotianmansaurus_henanensis	extinct
Baptornis	extinct
Baptornis_advenus	extinct
Baptornis_varneri	extinct
Baptornithidae	extinct
Barapasaurus_tagorei	extinct
Barawertornis_tedfordi	extinct
Barilium	extinct
Barilium_dawsoni	extinct
Barosaurus	extinct
Barosaurus_lentus	extinct
Barrancapus	extinct
Barrancapus_cresapi	extinct
Barrosasaurus_casamiquelai	extinct
Barrosopus_slobodai	extinct
Barsboldia_sicinskii	extinct
Bartramia_longicauda	extinct
Bartramia_umatilla	extinct
Baryonychinae	extinct
Baryonyx	extinct
Baryonyx_walkeri	extinct
Bathoceleus_hyphalus	extinct
Bathornis	extinct
Bathornis_celeripes	extinct
Bathornis_fricki	extinct
Bathornis_veredus	extinct
Batyrosaurus_rozhdestvenskyi	extinct
Baurutitan_britoi	extinct
Bauxitornis_mindszentyae	extinct
Baza_gracilis	extinct
Becklespinax_altispinax	extinct
Beipiaosaurus	extinct
Beishanlong_grandis	extinct
Belgirallus	extinct
Belgirallus_minutus	extinct
Belgirallus_oligocaenus	extinct
Bellusaurus_sui	extinct
Belonopterus_edmondi	extinct
Berberosaurus_liassicus	extinct
Berruornis_halbedeli	extinct
Berruornis_orbisantiqui	extinct
Bicentenaria_argentina	extinct
Bissektipelta_archibaldi	extinct
Bistahieversor_sealeyi	extinct
Blasisaurus_canudoi	extinct
Blikanasaurus_cromptoni	extinct
Bohaiornis_guoi	extinct
Bolong_yixianensis	extinct
Boluochia_zhengi	extinct
Bombycilla	extinct
Bonaparteichnium_tali	extinct
Bonapartenykus_ultimus	extinct
Bonasa	extinct
Bonasa_umbellus	extinct
Bonatitan_reigi	extinct
Bonitasaura_salgadoi	extinct
Borealosaurus_wimani	extinct
Boreonykus_certekorum	extinct
Boreortalis	extinct
Boreortalis_laesslei	extinct
Borogovia_gracilicrus	extinct
Borvocarbo	extinct
Borvocarbo_tardatus	extinct
Bosiutrisauropus_phuthiatsani	extinct
Botauroides_parvus	extinct
Botaurus	extinct
Botaurus_lentiginosus	extinct
Boutakioutichnium_atlasicus	extinct
Boutersemia	extinct
Boutersemia_belgica	extinct
Boutersemia_parvula	extinct
Brachiosauridae	extinct
Brachiosaurus	extinct
Brachiosaurus_altithorax	extinct
Brachyceratops	extinct
Brachylophosaurus	extinct
Brachylophosaurus_canadensis	extinct
Brachyramphus	extinct
Brachyramphus_dunkeli	extinct
Brachyramphus_pliocenum	extinct
Brachytrachelopan_mesai	extinct
Branta	extinct
Branta_bernicla	extinct
Branta_canadensis	extinct
Branta_hylobadistes	extinct
Branta_hypsibata	extinct
Branta_propinqua	extinct
Branta_ruficollis	extinct
Branta_woolfendeni	extinct
Brasilotitan_nemophagus	extinct
Bravoceratops_polyphemus	extinct
Breagyps	extinct
Bressanichnus_patagonicus	extinct
Breviparopus	extinct
Breviparopus_taghbaloutensis	extinct
Brodavis_americanus	extinct
Brodavis_baileyi	extinct
Brodavis_mongoliensis	extinct
Brontopodus	extinct
Brontopodus_birdi	extinct
Brontopodus_changlingensis	extinct
Brontopodus_oncalensis	extinct
Brontornis_burmeisteri	extinct
Brontosaurus	extinct
Brontosaurus_excelsus	extinct
Brontosaurus_parvus	extinct
Brontosaurus_yahnahpin	extinct
Brontozoum_thianschanicum	extinct
Bubo	extinct
Bubo_insularis	extinct
Bubo_sinclairi	extinct
Bubo_virginianus	extinct
Bucephala	extinct
Bucephala_albeola	extinct
Bucephala_clangula	extinct
Bucephala_ossivallis	extinct
Bucerotidae	extinct
Buitreraptor_gonzalezorum	extinct
Bullockornis	extinct
Bullockornis_planei	extinct
Bulweria	extinct
Bulweria_bifax	extinct
Burhinidae	extinct
Burhinus	extinct
Burhinus_lucorum	extinct
Burhinus_nanus	extinct
Buriolestes_schultzi	extinct
Buteo	extinct
Buteo_buteo	extinct
Buteo_fluviaticus	extinct
Buteo_grangeri	extinct
Buteo_jamaicensis	extinct
Buteo_lineatus	extinct
Buteo_platypterus	extinct
Buteo_rufinus	extinct
Buteo_swainsoni	extinct
Buteo_typhoius	extinct
Buteogallus	extinct
Buteogallus_urubitinga	extinct
Buteoninae	extinct
Butorides_validipes	extinct
Butorides_virescens	extinct
Byakudansauropus_shiraminensis	extinct
Byronosaurus	extinct
Byronosaurus_jaffei	extinct
Cacatua_roseicapilla	extinct
Cacatua_tenuirostris	extinct
Caenagnathasia	extinct
Caenagnathasia_martinsoni	extinct
Caenagnathidae	extinct
Caenagnathus	extinct
Caenagnathus_collinsi	extinct
Cairanoolithus	extinct
Cairanoolithus_dughii	extinct
Cairanoolithus_roussetensis	extinct
Calcardea_junnei	extinct
Calidris	extinct
Calidris_melanotos	extinct
Calidris_pacis	extinct
Callaeas_cinerea	extinct
Callipepla	extinct
Callovosaurus_leedsi	extinct
Calonectris	extinct
Calonectris_borealis	extinct
Calonectris_diomedea	extinct
Calonectris_krantzi	extinct
Calonectris_kurodai	extinct
Camarasauridae	extinct
Camarasauromorpha	extinct
Camarasaurus	extinct
Camarasaurus_agilis	extinct
Camarasaurus_grandis	extinct
Camarasaurus_lentus	extinct
Camarasaurus_lewisi	extinct
Camarasaurus_supremus	extinct
Camarillasaurus_cirugedae	extinct
Camelotia	extinct
Camelotia_borealis	extinct
Camptodontus_yangi	extinct
Camptosaurichnus_fasolae	extinct
Camptosauridae	extinct
Camptosaurus	extinct
Camptosaurus_dispar	extinct
Canadaga_arctica	extinct
Canardia_garonnensis	extinct
Capella	extinct
Capella_media	extinct
Caprimulgidae	extinct
Caprimulgus	extinct
Caprimulgus_piurensis	extinct
Caracara	extinct
Caracara_creightoni	extinct
Caracara_plancus	extinct
Carcharodontosauria	extinct
Carcharodontosauridae	extinct
Carcharodontosaurinae	extinct
Carcharodontosaurus	extinct
Carcharodontosaurus_iguidensis	extinct
Carcharodontosaurus_saharicus	extinct
Cardinalis_cardinalis	extinct
Cardiodon_rugulosus	extinct
Carduelis	extinct
Cariama_santacrucensis	extinct
Cariaminae	extinct
Caririchnium	extinct
Caririchnium_leonardii	extinct
Caririchnium_magnificum	extinct
Caririchnium_protohadrosaurichnos	extinct
Carmelopodus_untermannorum	extinct
Carnosauria	extinct
Carnotaurinae	extinct
Carnotaurus_sastrei	extinct
Carpodacus	extinct
Caseosaurus	extinct
Caseosaurus_crosbyensis	extinct
Caspiodontornis_kobystanicus	extinct
Casuarius	extinct
Catenoleimus_anachoretus	extinct
Catharacta	extinct
Catharista_shastensis	extinct
Cathartes_aura	extinct
Cathartes_fossilis	extinct
Cathartesaura_anaerobica	extinct
Cathartidae	extinct
Catharus	extinct
Cathayornis_yandica	extinct
Catoptrophorus_semipalmatus	extinct
Caudipteryx_dongi	extinct
Caudipteryx_zoui	extinct
Cedarosaurus_weiskopfae	extinct
