"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"1147454","occ","","","84207","Dacentrurinae","subfamily","81342","Late Kimmeridgian","Early Tithonian","155.7","145","47245"
"1147525","occ","","","124766","Alcini","tribe","202158","Serravallian","","13.82","11.62","47261"
"1147526","occ","31338","","146287","Iguanodontia","unranked clade","52805","Early Barremian","","130","125.45","55476"
"1147527","occ","","","146288","Theropoda","unranked clade","38513","Late Barremian","Early Aptian","130","122.46","47267"
"1147528","occ","","","146288","Sauropoda","unranked clade","38653","Late Barremian","Early Aptian","130","122.46","47267"
"1147749","occ","","","146328","Titanosauriformes","unranked clade","57468","Berriasian","","145","139.8","47271"
"1147750","occ","31411","","146328","Theropoda","unranked clade","38513","Berriasian","","145","139.8","55588"
"1147751","occ","","IF","146329","Iguanodontipus","genus","81020","Barremian","","129.4","125","47272"
"1147752","occ","","","146330","Sauropoda","unranked clade","38653","Barremian","","129.4","125","47272"
"1147753","occ","","","146331","Dinosauria","unranked clade","52775","Barremian","","129.4","125","47272"
"1148779","occ","","","146536","Theropoda","unranked clade","38513","Early Cretaceous","","145","100.5","14092"
"1148780","occ","30893","","146536","Iguanodontia","unranked clade","52805","Early Cretaceous","","145","100.5","54567"
"1148829","occ","","","146556","Qianshanornis rapax","species","272006","Early Paleocene","","66","61.7","47334"
"1148830","occ","","IF","101072","Koreanaornis hamanensis","species","81119","Cenomanian","","100.5","93.9","47338"
"1149488","occ","","IF","146639","Megalosauropus","genus","55026","Aptian","","125","113","47408"
"1149489","occ","","I","146639","Amblydactylus","genus","68216","Aptian","","125","113","47408"
"1149499","occ","","","77058","Nuthetes","genus","66532","Berriasian","","145","139.8","47413"
"1149525","occ","","","146642","Iguanodon","genus","38749","Late Aptian","","122.46","112.03","47414"
"1149527","occ","","","146643","Iguanodon","genus","38749","Aptian","Early Albian","125","109","47414"
"1149528","occ","","","146643","Pelorosaurus","genus","38678","Aptian","Early Albian","125","109","47414"
"1149529","occ","","","146643","Thyreophora","unranked clade","52777","Aptian","Early Albian","125","109","47414"
"1151746","occ","","","32370","Titanosauria","unranked clade","55585","Late Campanian","Early Maastrichtian","83.5","66","47469"
"1151747","occ","","","32370","Titanosauria","unranked clade","55585","Late Campanian","Early Maastrichtian","83.5","66","47469"
"1151748","occ","","","32370","Titanosauria","unranked clade","55585","Late Campanian","Early Maastrichtian","83.5","66","47469"
"1151788","occ","","","147070","Gannansaurus sinensis","species","273050","Maastrichtian","","72.1","66","47488"
"1151789","occ","","","147071","Xinghaiornis lini","species","273052","Early Aptian","","125.45","122.46","47489"
"1151791","occ","","","147072","Dongyangopelta yangyanensis","species","273055","Albian","Cenomanian","113","93.9","47490"
"1152347","occ","","","147178","Overosaurus paradasorum","species","273093","Early Campanian","Middle Campanian","83.5","70.6","47497"
"1153480","occ","","","147575","Tataouinea hannibalis","species","273397","Early Albian","","112.03","109","47523"
"1158383","occ","","","37210","Stegosauria","unranked clade","38798","Barremian","Early Aptian","129.4","122.46","46299"
"1159286","occ","","","148949","Pararhabdodon","genus","57426","Late Maastrichtian","","70.6","66","47749"
"1159287","occ","31223","","148951","Lambeosaurinae","subfamily","53394","Late Maastrichtian","","70.6","66","55386"
"1159288","occ","31748","","148950","Hadrosauroidea","superfamily","52811","Late Maastrichtian","","70.6","66","56254"
"1159289","occ","","","148948","Lambeosaurinae","subfamily","53394","Late Maastrichtian","","70.6","66","47749"
"1159290","occ","31482","","148952","Lambeosaurinae","subfamily","53394","Late Maastrichtian","","70.6","66","54956"
"1159291","occ","31197","","148953","Lambeosaurinae","subfamily","53394","Late Maastrichtian","","70.6","66","47749"
"1159293","occ","31617","","148954","Hadrosauroidea","superfamily","52811","Late Maastrichtian","","70.6","66","56054"
"1159294","occ","31724","","118194","Lambeosaurinae","subfamily","53394","Late Maastrichtian","","70.6","66","47749"
"1162068","occ","","","59062","Chendytes","genus","142717","Pleistocene","","2.588","0.0117","47780"
"1162536","occ","","","59057","Rebbachisauridae","family","57365","Cenomanian","","100.5","93.9","47874"
"1163594","occ","","","119082","Theropoda","unranked clade","38513","Early Cenomanian","","99.6","93.5","47916"
