"Yixianornis,"Yixianornis grabaui",119.0,119.0
"Grallator,"Grallator mokanametsongensis",196.05,196.05
"Feitianius,"Feitianius paradisi",119.0,119.0
"Gansus,"Gansus yumenensis",119.0,119.0
"Gaviidae","Gaviidae",25.715,25.715
"Dinosauropodes,"Dinosauropodes bransfordii",77.85,77.85
"Dasyornis","Dasyornis",0.00585,0.00585
"Brontosaurus","Brontosaurus",151.15,151.15
"Palaelodus,"Palaelodus aotearoa",17.45,17.45
"Waimanu,"Waimanu tuatahi",57.25,60.400000000000006
"Pelagornis,"Pelagornis mauretanicus",3.0940000000000003,3.0940000000000003
"Anthropodyptes,"Anthropodyptes gilli",19.5,19.5
"Miocepphus,"Miocepphus blowi",6.2895,6.2895
"Saurichnium,"Saurichnium anserinum",187.7,187.7
"Fenestrosaurus,"Fenestrosaurus philoceratops",77.05,77.05
"Dictyoolithus,"Dictyoolithus neixiangensis",88.55,88.55
"Hadrosauropodus","Hadrosauropodus",68.3,77.05
"Dorypaltus,"Dorypaltus prophatus",0.06885,0.06885
"Tongtianlong,"Tongtianlong limosus",69.05,69.05
"Spizaetus","Spizaetus",0.06885,3.35
"Gaviiformes","Gaviiformes",25.565,68.3
"Leaellynasaura,"Leaellynasaura amicagraphica",115.72999999999999,115.72999999999999
"Bathoceleus,"Bathoceleus hyphalus",1.29985,1.29985
"Anserini","Anserini",4.4665,4.4665
"Khaan,"Khaan mckennai",74.8,74.8
"Thescelosauridae","Thescelosauridae",68.3,77.05
"Grallator,"Grallator socialis",195.05,214.65
"Bahariasaurus,"Bahariasaurus ingens",69.05,99.4
"Dryornis,"Dryornis pampeanus",5.4,5.4
"Melanitta,"Melanitta nigra",0.00585,4.4665
"Leptorhynchos","Leptorhynchos",77.85,77.85
"Prosthemadera,"Prosthemadera novaeseelandiae",0.063,0.06885
"Cacatua,"Cacatua roseicapilla",0.00585,0.00585
"Spheruprismatoolithus","Spheruprismatoolithus",69.05,69.05
"Lithornis,"Lithornis promiscuus",56.3,56.3
"Procellaria","Procellaria",4.4665,4.4665
"Phalacrocorax,"Phalacrocorax macer",3.0940000000000003,3.0940000000000003
"Himantopus","Himantopus",0.06885,3.35
"Eudocimus","Eudocimus",0.00585,4.4665
"Otis","Otis",0.063,1.6845
"Tyto","Tyto",0.00585,13.175
"Coenocorypha","Coenocorypha",0.063,0.063
"Cyrtonyx","Cyrtonyx",0.063,0.06885
"Lambeosaurinae","Lambeosaurinae",68.3,89.9
"Puffinus,"Puffinus lherminieri",0.00585,4.4665
"Coeluridae","Coeluridae",68.3,171.2
"Pedopenna,"Pedopenna daohugouensis",162.95,162.95
"Aletornis,"Aletornis pernix",42.900000000000006,42.900000000000006
"Podiceps,"Podiceps dixi",0.156,0.156
"Dilong,"Dilong paradoxus",126.22999999999999,126.22999999999999
"Corvus,"Corvus corax",0.00585,1.29985
"Nebulasaurus,"Nebulasaurus taito",171.2,171.2
"Tarsodactylus,"Tarsodactylus expansus",196.05,196.05
"Cygnus","Cygnus",0.00585,12.154
"Porzana,"Porzana ziegleri",0.06885,0.06885
"Gojirasaurus,"Gojirasaurus quayi",218.25,218.25
"Kayentapus,"Kayentapus hopii",191.0,191.0
"Irenesauripus","Irenesauripus",77.05,121.2
"Tenontosaurus,"Tenontosaurus dossi",117.245,117.245
"Archaeocycnus,"Archaeocycnus lacustris",0.06885,0.06885
"Eosinopteryx,"Eosinopteryx brevipenna",159.25,159.25
"Sarahsaurus,"Sarahsaurus aurifontanalis",191.0,191.0
"Agialopous,"Agialopous wyomingensis",214.65,214.65
"Rhabdodon,"Rhabdodon priscus",68.3,77.05
